TradeDate,SecurityID,BigNetInflow
2022.01.14,688286,0.077682308535562
2022.01.14,688368,0.007070802152828
2022.01.14,688538,-0.008672104782144
2022.01.14,688589,0.019386056879027
2022.01.14,688595,0.023346381107924
2022.01.14,688608,-0.0098841502716
2022.01.14,688689,-0.01571983593457
2022.01.14,688728,0.056649359097925
2022.01.14,688766,0.000327891254605
2022.01.14,688798,-0.009968052143546
2022.01.17,002213,-0.001749845317046
2022.01.17,002449,0.002970730546967
2022.01.17,003026,0.000897459013997
2022.01.17,003043,0.031197486919879
2022.01.17,300123,0.037671433923738
2022.01.17,300236,0.037797377234257
2022.01.17,300241,0.001957146352618
2022.01.17,300301,0.020953336253999
2022.01.17,300303,0.011727583976345
2022.01.17,300323,-0.039936631616922
2022.01.17,300632,0.038574125361856
2022.01.17,600667,0.007903492908369
2022.01.17,603068,0.024337714894473
2022.01.17,688018,-0.010694474902364
2022.01.17,688049,0.073017937944119
2022.01.17,688107,0.042886396359157
2022.01.17,688135,-0.000945719161691
2022.01.17,688138,0.03703306049746
2022.01.17,688206,-0.031885788223952
2022.01.17,688216,-0.039058430467052
2022.01.17,688230,0.032347092297243
2022.01.17,688286,0.081815214600735
2022.01.17,688368,-0.007342930883416
2022.01.17,688538,0.012252983482299
2022.01.17,688589,0.002287523203642
2022.01.17,688595,0.022657780665049
2022.01.17,688608,0.040750487913186
2022.01.17,688689,-0.004456686837788
2022.01.17,688728,0.041606924350506
2022.01.17,688766,0.004254469149541
2022.01.17,688798,-0.031250476744647
2022.01.18,002213,0.031270866958548
2022.01.18,002449,-0.000395931567236
2022.01.18,003026,-0.003319399423822
2022.01.18,003043,-0.025331361556043
2022.01.18,300123,-0.027128044456432
2022.01.18,300236,-0.047872261677402
2022.01.18,300241,-0.019257301493261
2022.01.18,300301,-0.032452348936474
2022.01.18,300303,-0.005441281175106
2022.01.18,300323,-0.037903006555302
2022.01.18,300632,-0.077612657708268
2022.01.18,600667,-0.014370548788351
2022.01.18,603068,0.005250332495134
2022.01.18,688018,0.028966158240579
2022.01.18,688049,-0.015348865277097
2022.01.18,688107,-0.008125011600756
2022.01.18,688135,0.0013656468385
2022.01.18,688138,0.03149757930919
2022.01.18,688206,0.001710853464233
2022.01.18,688216,0.006238441927885
2022.01.18,688230,0.012260829210196
2022.01.18,688286,-0.009550092389472
2022.01.18,688368,-0.009553274999077
2022.01.18,688538,0.01517491260511
2022.01.18,688589,-0.075115239989178
2022.01.18,688595,0.001311148345746
2022.01.18,688608,0.011296278194266
2022.01.18,688689,-0.025527986113683
2022.01.18,688728,-0.015920575835089
2022.01.18,688766,-0.010065411265406
2022.01.18,688798,-0.010314377636681
2022.01.19,002213,0.006674317495541
2022.01.19,002449,-0.029658949851563
2022.01.19,003026,-0.010186666146982
2022.01.19,003043,0.023908572451925
2022.01.19,300123,0.011420602131653
2022.01.19,300236,-0.007365372223562
2022.01.19,300241,0.001444388052961
2022.01.19,300301,0.013985110067056
2022.01.19,300303,-0.024589528316109
2022.01.19,300323,-0.048372124248779
2022.01.19,300632,0.014078076796542
2022.01.19,600667,-0.017574482767336
2022.01.19,603068,0.016616782313889
2022.01.19,688018,-0.022466653311344
2022.01.19,688049,0.033280517840797
2022.01.19,688107,-0.042840619105924
2022.01.19,688135,-0.004374452085475
2022.01.19,688138,0.003112304269597
2022.01.19,688206,0.01706570540601
2022.01.19,688216,-0.01344936439134
2022.01.19,688230,-0.05275847788565
2022.01.19,688286,0.045665884695998
2022.01.19,688368,0.00831846665753
2022.01.19,688538,-0.044957257737448
2022.01.19,688589,0.036814751687228
2022.01.19,688595,-0.019151592482628
2022.01.19,688608,-0.021343485922648
2022.01.19,688689,0.026281841608
2022.01.19,688728,0.001810711044296
2022.01.19,688766,-0.091217995056842
2022.01.19,688798,-0.01903156065464
2022.01.20,002213,-0.115832735638035
2022.01.20,002449,-0.029381833940067
2022.01.20,003026,-0.006210302614902
2022.01.20,003043,-0.008080330999531
2022.01.20,300123,-0.047120410779594
2022.01.20,300236,-0.012988675370945
2022.01.20,300241,0.003285974926252
2022.01.20,300301,-0.013523705432285
2022.01.20,300303,-0.03034582188025
2022.01.20,300323,-0.046038253696407
2022.01.20,300632,-0.051698335931174
2022.01.20,600667,-0.08170874502023
2022.01.20,603068,-0.048737612590214
2022.01.20,688018,-0.035900559629606
2022.01.20,688049,-0.019822979964186
2022.01.20,688107,0.014111615311854
2022.01.20,688135,-0.038676267421293
2022.01.20,688138,0.034407722725858
2022.01.20,688206,-0.007090245390138
2022.01.20,688216,0.002595764050902
2022.01.20,688230,-0.106111594661941
